OWNER,OBJECT_NAME,TABLE_STATUS,ESTIMATED_ROW_COUNT,INGESTION_PK_COLUMNS,INGESTION_DATE_COLUMNS,POTENTIAL_PARTITION_COLS,INGESTION_TYPE
"ODSMGR","ACADEMIC_STUDY","EXISTS",null,null,null,null,"full_load"
"ODSMGR","EMPLOYEE","EXISTS",null,null,null,null,"full_load"
"ODSMGR","EMPLOYEE_POSITION","EXISTS",null,null,null,null,"full_load"
"ODSMGR","MEETING_TIME","EXISTS",null,null,"MEETING_ACTIVITY_DATE",null,"full_load"
"ODSMGR","PERSON_DETAIL","EXISTS",null,null,"ENTITY_ACTIVITY_DATE",null,"full_load"
"ODSMGR","ROOM_ASSIGNMENT","EXISTS",null,null,null,null,"full_load"
"ODSMGR","SCAD_HR_EMPLOYEE","EXISTS",28602,null,null,null,"full_load"
"ODSMGR","SCAD_HR_EMP_POSITION","EXISTS",216838,null,null,null,"full_load"
"ODSMGR","SCAD_LENEL_CUSTOM","EXISTS",177412,null,null,null,"full_load"
"ODSMGR","SCAD_MST_SFRSTCA","EXISTS",30349130,null,"SFRSTCA_ACTIVITY_DATE","SFRSTCA_TERM_CODE","column_incremental"
"ODSMGR","SCAD_MST_SORRTRM","EXISTS",139,"SORRTRM_SURROGATE_ID","SORRTRM_ACTIVITY_DATE","SORRTRM_TERM_CODE","date_incremental"
"ODSMGR","SCAD_MST_SPRADDR","EXISTS",4850072,null,"SPRADDR_ACTIVITY_DATE",null,"full_load"
"ODSMGR","SCAD_MST_STVNATN","EXISTS",283,null,"STVNATN_ACTIVITY_DATE",null,"full_load"
"ODSMGR","SCAD_SCADLOC_CONTRACT_FACULTY","EXISTS",5610,null,null,null,"full_load"
"ODSMGR","SCAD_SCADLOC_CONTRACT_TYPE","EXISTS",611,null,null,null,"full_load"
"ODSMGR","SCAD_SCADLOC_CONTRACT_YEAR","EXISTS",15,null,null,null,"full_load"
"ODSMGR","SCAD_SF_CONTACT","EXISTS",5292802,null,"LASTMODIFIEDDATE","CONTACT_ENTERING_TERM_CODE,CONTACT_ENTERING_TERM_DESC,CONTACT_ENTERING_TERM__C","column_incremental"
"ODSMGR","SCHEDULE_OFFERING","EXISTS",null,null,"CROSS_LIST_ACTIVITY_DATE",null,"full_load"
"ODSMGR","STUDENT_COURSE","EXISTS",null,null,null,"MID_TERM_GRADE","column_incremental"
"SATURN","STVSTAT","EXISTS",82,"STVSTAT_SURROGATE_ID","STVSTAT_ACTIVITY_DATE",null,"date_incremental"
"SATURN","STVSTAT","EXISTS",82,"STVSTAT_SURROGATE_ID","STVSTAT_ACTIVITY_DATE",null,"date_incremental"
"SATURN","STVTERM","EXISTS",291,"STVTERM_SURROGATE_ID","STVTERM_ACTIVITY_DATE","STVTERM_ACTIVITY_DATE,STVTERM_ACYR_CODE,STVTERM_APPORT_CDE,STVTERM_CATALOG_GUID,STVTERM_CODE,STVTERM_DATA_ORIGIN,STVTERM_DESC,STVTERM_END_DATE,STVTERM_FA_END_PERIOD,STVTERM_FA_PERIOD,STVTERM_FA_PROC_YR,STVTERM_FA_SUMMER_IND,STVTERM_FA_TERM,STVTERM_GUID,STVTERM_HOUSING_END_DATE,STVTERM_HOUSING_START_DATE,STVTERM_MIS_TERM_CTG,STVTERM_MIS_TERM_ID,STVTERM_START_DATE,STVTERM_SURROGATE_ID,STVTERM_SYSTEM_REQ_IND,STVTERM_TERM_LEN_MULT,STVTERM_TERM_LEN_MULT_IS,STVTERM_TRMT_CODE,STVTERM_USER_ID,STVTERM_VERSION,STVTERM_VPDI_CODE","date_incremental"
"SATURN","STVTERM","EXISTS",291,"STVTERM_SURROGATE_ID","STVTERM_ACTIVITY_DATE","STVTERM_ACTIVITY_DATE,STVTERM_ACYR_CODE,STVTERM_APPORT_CDE,STVTERM_CATALOG_GUID,STVTERM_CODE,STVTERM_DATA_ORIGIN,STVTERM_DESC,STVTERM_END_DATE,STVTERM_FA_END_PERIOD,STVTERM_FA_PERIOD,STVTERM_FA_PROC_YR,STVTERM_FA_SUMMER_IND,STVTERM_FA_TERM,STVTERM_GUID,STVTERM_HOUSING_END_DATE,STVTERM_HOUSING_START_DATE,STVTERM_MIS_TERM_CTG,STVTERM_MIS_TERM_ID,STVTERM_START_DATE,STVTERM_SURROGATE_ID,STVTERM_SYSTEM_REQ_IND,STVTERM_TERM_LEN_MULT,STVTERM_TERM_LEN_MULT_IS,STVTERM_TRMT_CODE,STVTERM_USER_ID,STVTERM_VERSION,STVTERM_VPDI_CODE","date_incremental"
"SCADLOCAL","FACULTY_SPECIAL_CONTRACTS","EXISTS",31,null,null,null,"full_load"
"SCADLOCAL","FACULTY_SPECIAL_REDUCED_NEW","EXISTS",17,null,null,null,"full_load"
"SCADLOCAL","FSC_CAPTAIN_STEP3","EXISTS",257,null,null,null,"full_load"
"SCADLOCAL","HR_FAC_MANUAL_UPDATES_CY","EXISTS",4866,null,null,null,"full_load"
"SCADLOCAL","HR_FAC_YRS_RED_FORMAT","EXISTS",648,null,null,null,"full_load"
"SCADLOCAL","HR_GRADE_FAC_CY","EXISTS",288,null,null,null,"full_load"
"SCADLOCAL","HR_GRADE_FAC_DEPT_CY","EXISTS",545,null,null,null,"full_load"
"SCADLOCAL","HR_GRADE_STAFF","EXISTS",18,null,null,null,"full_load"
"UNRESOLVED","EDU","MISSING",null,null,null,null,"full_load"
