OWNER,OBJECT_NAME,TABLE_STATUS,ESTIMATED_ROW_COUNT,INGESTION_PK_COLUMNS,INGESTION_DATE_COLUMNS,POTENTIAL_PARTITION_COLS,INGESTION_TYPE
"ALUMNI","ADBDESG","EXISTS",1415,"ADBDESG_SURROGATE_ID","ADBDESG_ACTIVITY_DATE",null,"date_incremental"
"ALUMNI","AGBGIFT","EXISTS",193868,"AGBGIFT_SURROGATE_ID","AGBGIFT_ACTIVITY_DATE",null,"date_incremental"
"ALUMNI","AGBPLDG","EXISTS",23569,"AGBPLDG_SURROGATE_ID","AGBPLDG_ACTIVITY_DATE",null,"date_incremental"
"ALUMNI","AGRGDES","EXISTS",205854,"AGRGDES_SURROGATE_ID","AGRGDES_ACTIVITY_DATE",null,"date_incremental"
"ALUMNI","AGRGSOL","EXISTS",160588,"AGRGSOL_SURROGATE_ID","AGRGSOL_ACTIVITY_DATE",null,"date_incremental"
"ALUMNI","AGRPDES","EXISTS",26609,"AGRPDES_SURROGATE_ID","AGRPDES_ACTIVITY_DATE",null,"date_incremental"
"ALUMNI","AGRPSOL","EXISTS",22941,"AGRPSOL_SURROGATE_ID","AGRPSOL_ACTIVITY_DATE",null,"date_incremental"
"ALUMNI","APBCONS","EXISTS",129109,"APBCONS_SURROGATE_ID","APBCONS_ACTIVITY_DATE",null,"date_incremental"
"ALUMNI","APRCHLD","EXISTS",50881,"APRCHLD_SURROGATE_ID","APRCHLD_ACTIVITY_DATE",null,"date_incremental"
"ALUMNI","APRSALU","EXISTS",242497,"APRSALU_SURROGATE_ID","APRSALU_ACTIVITY_DATE",null,"date_incremental"
"ALUMNI","ATVSOLC","EXISTS",417,"ATVSOLC_SURROGATE_ID","ATVSOLC_ACTIVITY_DATE",null,"date_incremental"
"AXIOMELT","MASTERRECORDFIELDS","EXISTS",188191029,"MASTERRECORDFIELDID",null,null,"full_load"
"AXIOMELT","MASTERRECORDFIELDVALUES_LATEST","EXISTS",187328344,"MASTERRECORDFIELDID",null,null,"full_load"
"AXIOMELT","MASTERRECORDNOTES","EXISTS",47474,"MASTERRECORDID,NOTEDATE",null,null,"full_load"
"AXIOMELT","MASTERRECORDPROGRESS_LATEST","EXISTS",1232000,"MASTERRECORDID",null,null,"full_load"
"AXIOMELT","MASTERRECORDS","EXISTS",1230229,"MASTERRECORDID",null,null,"full_load"
"AXIOMELT","PHASES","EXISTS",103,"PHASEID",null,null,"full_load"
"AXIOMELT","SOURCEFIELDS","EXISTS",5053,"SOURCEFIELDID",null,null,"full_load"
"AXIOMELT","SOURCES","EXISTS",18,"SOURCEID",null,null,"full_load"
"AXIOMELT","WEBSERVICEAUDITLOG","EXISTS",4611489,"AUDITID",null,null,"full_load"
"BANINST1","AA_PLEDGE_DETAIL","EXISTS",null,null,null,null,"full_load"
"BANINST1","AF_ACCTG_DISTRIBUTION_ANALYSIS","EXISTS",null,null,null,null,"full_load"
"BANINST1","AF_DISBURSEMENT_ANALYSIS","EXISTS",null,null,null,null,"full_load"
"BANINST1","AF_GRANT_BUDGET_DETAIL_TRANS","EXISTS",null,null,null,"FUND_TERMINATION_DATE","column_incremental"
"BANINST1","AF_GRANT_BUDGET_STATUS","EXISTS",null,null,null,null,"full_load"
"BANINST1","AF_GRANT_BUDGET_TRANSACTION","EXISTS",null,null,null,null,"full_load"
"BANINST1","AF_GRANT_COSTS","EXISTS",null,null,null,null,"full_load"
"BANINST1","AF_PERIODIC_BALANCE_SHEET","EXISTS",null,null,null,null,"full_load"
"BANINST1","AF_PERIOD_OPERATING_STATEMENT","EXISTS",null,null,null,null,"full_load"
"BANINST1","AF_RECONCILIATION","EXISTS",null,null,null,null,"full_load"
"BANINST1","AF_TRANSACTION_DETAIL","EXISTS",null,null,null,null,"full_load"
"BANINST1","AF_YEARLY_BALANCE_SHEET","EXISTS",null,null,null,null,"full_load"
"BANINST1","AF_YEARLY_OPERATING_STATEMENT","EXISTS",null,null,null,null,"full_load"
"BANINST1","AR_AWARD_DETAIL_BY_TERM","EXISTS",null,null,null,"APPLICATION_ENTRY_TERM_CODE,APPLICATION_ENTRY_TERM_DESC,AWARD_TERM_ACCEPT_AMOUNT,AWARD_TERM_AUTHORIZE_AMOUNT,AWARD_TERM_CANCEL_AMOUNT,AWARD_TERM_LOAD_MISMATCH_IND,AWARD_TERM_MEMO_AMOUNT,AWARD_TERM_OFFER_AMOUNT,AWARD_TERM_PACKAGE_LOAD_IND,AWARD_TERM_PAID_AMOUNT,STUDENT_ADMITTED_TERM_CODE,STUDENT_ADMITTED_TERM_DESC,STUDENT_EFFECTIVE_TERM_CODE,STUDENT_EFFECTIVE_TERM_DESC","column_incremental"
"BANINST1","AR_AWARD_DETAIL_BY_YEAR","EXISTS",null,null,null,"APPLICATION_ENTRY_TERM_CODE,APPLICATION_ENTRY_TERM_DESC,STUDENT_ADMITTED_TERM_CODE,STUDENT_ADMITTED_TERM_DESC,STUDENT_EFFECTIVE_TERM_CODE,STUDENT_EFFECTIVE_TERM_DESC","column_incremental"
"BANINST1","AR_BUDGET_COMPONENTS","EXISTS",null,null,null,null,"full_load"
