OWNER,OBJECT_NAME,TABLE_STATUS,ESTIMATED_ROW_COUNT,INGESTION_PK_COLUMNS,INGESTION_DATE_COLUMNS,POTENTIAL_PARTITION_COLS,INGESTION_TYPE
"BANINST1","WGVEDUC","EXISTS",null,null,"UPDATED_AT",null,"full_load"
"FIMSMGR","FTVACTV","EXISTS",33396,"FTVACTV_SURROGATE_ID","FTVACTV_ACTIVITY_DATE","FTVACTV_TERM_DATE","date_incremental"
"FIMSMGR","FTVORGN","EXISTS",4361,"FTVORGN_SURROGATE_ID","FTVORGN_ACTIVITY_DATE","FTVORGN_TERM_DATE","date_incremental"
"GENERAL","GOBEACC","EXISTS",1259,"GOBEACC_SURROGATE_ID","GOBEACC_ACTIVITY_DATE",null,"date_incremental"
"GENERAL","GOBINTL","EXISTS",188914,"GOBINTL_SURROGATE_ID","GOBINTL_ACTIVITY_DATE",null,"date_incremental"
"GENERAL","GOBTPAC","EXISTS",1787823,"GOBTPAC_SURROGATE_ID","GOBTPAC_ACTIVITY_DATE",null,"date_incremental"
"GENERAL","GOREMAL","EXISTS",3347835,"GOREMAL_SURROGATE_ID","GOREMAL_ACTIVITY_DATE",null,"date_incremental"
"GENERAL","GORPRAC","EXISTS",452404,"GORPRAC_SURROGATE_ID","GORPRAC_ACTIVITY_DATE",null,"date_incremental"
"GENERAL","GORRACE","EXISTS",5,"GORRACE_SURROGATE_ID","GORRACE_ACTIVITY_DATE",null,"date_incremental"
"GENERAL","GORVISA","EXISTS",18834,"GORVISA_SURROGATE_ID","GORVISA_ACTIVITY_DATE",null,"date_incremental"
"GENERAL","GTVRRAC","EXISTS",5,"GTVRRAC_SURROGATE_ID","GTVRRAC_ACTIVITY_DATE",null,"date_incremental"
"GENERAL","GXRDIRD","EXISTS",95879,"GXRDIRD_SURROGATE_ID","GXRDIRD_ACTIVITY_DATE",null,"date_incremental"
"PAYROLL","PDRBCOV","EXISTS",31170,"PDRBCOV_SURROGATE_ID","PDRBCOV_ACTIVITY_DATE",null,"date_incremental"
"PAYROLL","PDRBDED","EXISTS",216267,"PDRBDED_SURROGATE_ID","PDRBDED_ACTIVITY_DATE",null,"date_incremental"
"PAYROLL","PDRBENE","EXISTS",33923,"PDRBENE_SURROGATE_ID","PDRBENE_ACTIVITY_DATE",null,"date_incremental"
"PAYROLL","PDRDEDN","EXISTS",647347,"PDRDEDN_SURROGATE_ID","PDRDEDN_ACTIVITY_DATE",null,"date_incremental"
"PAYROLL","PDRXPID","EXISTS",3008,"PDRXPID_SURROGATE_ID","PDRXPID_ACTIVITY_DATE",null,"date_incremental"
"PAYROLL","PEBEMPL","EXISTS",28567,"PEBEMPL_SURROGATE_ID","PEBEMPL_ACTIVITY_DATE","PEBEMPL_TERM_DATE","date_incremental"
"PAYROLL","PERDAYH","EXISTS",17129908,"PERDAYH_SURROGATE_ID","PERDAYH_ACTIVITY_DATE",null,"date_incremental"
"PAYROLL","PERDAYS","EXISTS",5918428,"PERDAYS_SURROGATE_ID","PERDAYS_ACTIVITY_DATE",null,"date_incremental"
"PAYROLL","PERDHIS","EXISTS",949521,"PERDHIS_SURROGATE_ID","PERDHIS_ACTIVITY_DATE",null,"date_incremental"
"PAYROLL","PERDIRD","EXISTS",1105,"PERDIRD_SURROGATE_ID","PERDIRD_ACTIVITY_DATE",null,"date_incremental"
"PAYROLL","PERDTOT","EXISTS",6493324,"PERDTOT_SURROGATE_ID","PERDTOT_ACTIVITY_DATE",null,"date_incremental"
"PAYROLL","PEREARH","EXISTS",1050319,"PEREARH_SURROGATE_ID","PEREARH_ACTIVITY_DATE",null,"date_incremental"
"PAYROLL","PEREARN","EXISTS",463466,"PEREARN_SURROGATE_ID","PEREARN_ACTIVITY_DATE",null,"date_incremental"
"PAYROLL","PEREHIS","EXISTS",149766,"PEREHIS_SURROGATE_ID","PEREHIS_ACTIVITY_DATE","PEREHIS_TERM_DATE","date_incremental"
"PAYROLL","PERELBD","EXISTS",0,"PERELBD_SURROGATE_ID","PERELBD_ACTIVITY_DATE",null,"date_incremental"
"PAYROLL","PERELBH","EXISTS",0,"PERELBH_SURROGATE_ID","PERELBH_ACTIVITY_DATE",null,"date_incremental"
"PAYROLL","PERETOT","EXISTS",695563,"PERETOT_SURROGATE_ID","PERETOT_ACTIVITY_DATE",null,"date_incremental"
"PAYROLL","PERHOUH","EXISTS",4963264,"PERHOUH_SURROGATE_ID","PERHOUH_ACTIVITY_DATE",null,"date_incremental"
"PAYROLL","PERHOUR","EXISTS",2340473,"PERHOUR_SURROGATE_ID","PERHOUR_ACTIVITY_DATE",null,"date_incremental"
"PAYROLL","PERJHIS","EXISTS",383827,"PERJHIS_SURROGATE_ID","PERJHIS_ACTIVITY_DATE",null,"date_incremental"
"PAYROLL","PERJOBH","EXISTS",1205241,"PERJOBH_SURROGATE_ID","PERJOBH_ACTIVITY_DATE",null,"date_incremental"
"PAYROLL","PERJOBS","EXISTS",429067,"PERJOBS_SURROGATE_ID","PERJOBS_ACTIVITY_DATE",null,"date_incremental"
"PAYROLL","PERJTOT","EXISTS",1264452,"PERJTOT_SURROGATE_ID","PERJTOT_ACTIVITY_DATE",null,"date_incremental"
"PAYROLL","PERLEAV","EXISTS",41181,"PERLEAV_SURROGATE_ID","PERLEAV_ACTIVITY_DATE",null,"date_incremental"
"PAYROLL","PERLHIS","EXISTS",1583845,"PERLHIS_SURROGATE_ID","PERLHIS_ACTIVITY_DATE",null,"date_incremental"
"PAYROLL","PERLVTK","EXISTS",84512,"PERLVTK_SURROGATE_ID","PERLVTK_ACTIVITY_DATE",null,"date_incremental"
"PAYROLL","PERROUH","EXISTS",1236302,"PERROUH_SURROGATE_ID","PERROUH_ACTIVITY_DATE",null,"date_incremental"
"PAYROLL","PERROUT","EXISTS",430898,"PERROUT_SURROGATE_ID","PERROUT_ACTIVITY_DATE",null,"date_incremental"
"PAYROLL","PERTETH","EXISTS",1234093,"PERTETH_SURROGATE_ID","PERTETH_ACTIVITY_DATE",null,"date_incremental"
"PAYROLL","PERTITH","EXISTS",2515421,"PERTITH_SURROGATE_ID","PERTITH_ACTIVITY_DATE",null,"date_incremental"
