OWNER,OBJECT_NAME,TABLE_STATUS,ESTIMATED_ROW_COUNT,INGESTION_PK_COLUMNS,INGESTION_DATE_COLUMNS,POTENTIAL_PARTITION_COLS,INGESTION_TYPE
"FAISMGR","RORSAPR","EXISTS",511291,"RORSAPR_SURROGATE_ID","RORSAPR_ACTIVITY_DATE","RORSAPR_INST_TERM_GPA,RORSAPR_TERM_CODE,RORSAPR_TERM_GPA,RORSAPR_TERM_GPA_HOURS,RORSAPR_TERM_HOURS_ATTEMPT,RORSAPR_TERM_HOURS_EARNED,RORSAPR_TERM_HOURS_PASSED,RORSAPR_TERM_INST_GPA_HOURS,RORSAPR_TERM_INST_HOURS_EARNED,RORSAPR_TERM_INST_HOURS_PASSED,RORSAPR_TERM_INST_HOUR_ATTEMPT,RORSAPR_TERM_INST_PCT_EARNED,RORSAPR_TERM_INST_QUAL_POINTS,RORSAPR_TERM_PERCENT_EARNED,RORSAPR_TERM_QUALITY_POINTS","date_incremental"
"FAISMGR","RORSAPR","EXISTS",511291,"RORSAPR_SURROGATE_ID","RORSAPR_ACTIVITY_DATE","RORSAPR_INST_TERM_GPA,RORSAPR_TERM_CODE,RORSAPR_TERM_GPA,RORSAPR_TERM_GPA_HOURS,RORSAPR_TERM_HOURS_ATTEMPT,RORSAPR_TERM_HOURS_EARNED,RORSAPR_TERM_HOURS_PASSED,RORSAPR_TERM_INST_GPA_HOURS,RORSAPR_TERM_INST_HOURS_EARNED,RORSAPR_TERM_INST_HOURS_PASSED,RORSAPR_TERM_INST_HOUR_ATTEMPT,RORSAPR_TERM_INST_PCT_EARNED,RORSAPR_TERM_INST_QUAL_POINTS,RORSAPR_TERM_PERCENT_EARNED,RORSAPR_TERM_QUALITY_POINTS","date_incremental"
"GENERAL","GOREMAL","EXISTS",3341789,"GOREMAL_SURROGATE_ID","GOREMAL_ACTIVITY_DATE",null,"date_incremental"
"GENERAL","GOREMAL","EXISTS",3341789,"GOREMAL_SURROGATE_ID","GOREMAL_ACTIVITY_DATE",null,"date_incremental"
"ODSLOV","LOV_ACADEMIC_PERIOD","EXISTS",null,null,null,null,"full_load"
"ODSLOV","LOV_ACADEMIC_STANDING","EXISTS",null,null,null,null,"full_load"
"ODSLOV","LOV_ACADEMIC_TITLE","EXISTS",null,null,null,null,"full_load"
"ODSLOV","LOV_ACADEMIC_YEAR","EXISTS",null,null,null,null,"full_load"
"ODSLOV","LOV_ACCOUNT_ATTRIBUTE_SET","EXISTS",null,null,null,null,"full_load"
"ODSLOV","LOV_ACCOUNT_ATTRIBUTE_TYPE","EXISTS",null,null,null,null,"full_load"
"ODSLOV","LOV_ACCOUNT_ATTRIBUTE_VALUE","EXISTS",null,null,null,null,"full_load"
"ODSLOV","LOV_ACCOUNT_CLASS","EXISTS",null,null,null,null,"full_load"
"ODSLOV","LOV_ACCOUNT_LEVEL_1","EXISTS",null,null,null,null,"full_load"
"ODSLOV","LOV_ACCOUNT_LEVEL_2","EXISTS",null,null,null,null,"full_load"
"ODSLOV","LOV_ACCOUNT_LEVEL_3","EXISTS",null,null,null,null,"full_load"
"ODSLOV","LOV_ACCOUNT_LEVEL_4","EXISTS",null,null,null,null,"full_load"
"ODSLOV","LOV_ACCOUNT_POOL","EXISTS",null,null,null,null,"full_load"
"ODSLOV","LOV_ACCOUNT_TYPE_ATTR_SET","EXISTS",null,null,null,null,"full_load"
"ODSLOV","LOV_ACCOUNT_TYPE_ATTR_TYPE","EXISTS",null,null,null,null,"full_load"
"ODSLOV","LOV_ACCOUNT_TYPE_ATTR_VALUE","EXISTS",null,null,null,null,"full_load"
"ODSLOV","LOV_ACCOUNT_TYPE_LEVEL_1","EXISTS",null,null,null,null,"full_load"
