OWNER,OBJECT_NAME,TABLE_STATUS,ESTIMATED_ROW_COUNT,INGESTION_PK_COLUMNS,INGESTION_DATE_COLUMNS,POTENTIAL_PARTITION_COLS,INGESTION_TYPE
"BANINST1","AR_AWARD_DETAIL_BY_TERM","EXISTS",null,null,null,"APPLICATION_ENTRY_TERM_CODE,APPLICATION_ENTRY_TERM_DESC,AWARD_TERM_ACCEPT_AMOUNT,AWARD_TERM_AUTHORIZE_AMOUNT,AWARD_TERM_CANCEL_AMOUNT,AWARD_TERM_LOAD_MISMATCH_IND,AWARD_TERM_MEMO_AMOUNT,AWARD_TERM_OFFER_AMOUNT,AWARD_TERM_PACKAGE_LOAD_IND,AWARD_TERM_PAID_AMOUNT,STUDENT_ADMITTED_TERM_CODE,STUDENT_ADMITTED_TERM_DESC,STUDENT_EFFECTIVE_TERM_CODE,STUDENT_EFFECTIVE_TERM_DESC","column_incremental"
"BANINST1","AR_AWARD_DETAIL_BY_YEAR","EXISTS",null,null,null,"APPLICATION_ENTRY_TERM_CODE,APPLICATION_ENTRY_TERM_DESC,STUDENT_ADMITTED_TERM_CODE,STUDENT_ADMITTED_TERM_DESC,STUDENT_EFFECTIVE_TERM_CODE,STUDENT_EFFECTIVE_TERM_DESC","column_incremental"
"BANINST1","AR_BUDGET_COMPONENTS","EXISTS",null,null,null,null,"full_load"
"BANINST1","AR_FINAID_APPLICANT","EXISTS",null,null,null,"APPLICATION_ENTRY_TERM_CODE,APPLICATION_ENTRY_TERM_DESC,REQUIREMENT_TERM_CODE1,REQUIREMENT_TERM_CODE2,REQUIREMENT_TERM_CODE3,REQUIREMENT_TERM_DESC1,REQUIREMENT_TERM_DESC2,REQUIREMENT_TERM_DESC3,STUDENT_ADMITTED_TERM_CODE,STUDENT_ADMITTED_TERM_DESC,STUDENT_EFFECTIVE_TERM_CODE,STUDENT_EFFECTIVE_TERM_DESC","column_incremental"
"BANINST1","AR_FINAID_STUDENT_SUMMARY","EXISTS",null,null,null,"APPLICATION_ENTRY_TERM_CODE,APPLICATION_ENTRY_TERM_DESC,DEGREE_COMPLETED_TERM_CODE,DEGREE_COMPLETED_TERM_DESC,DEGREE_GRADUATION_TERM_CODE,DEGREE_GRADUATION_TERM_DESC,DEGREE_TERM_CODE_STUREC,DEGREE_TERM_DESC_STUREC,STUDENT_ADMITTED_TERM_CODE,STUDENT_ADMITTED_TERM_DESC,STUDENT_EFFECTIVE_TERM_CODE,STUDENT_EFFECTIVE_TERM_DESC","column_incremental"
"BANINST1","AR_TRACKING_REQUIREMENTS","EXISTS",null,null,null,null,"full_load"
"BANINST1","FA_SAP","EXISTS",null,null,null,"TOTAL_ATTENDED_TERMS","column_incremental"
"BANINST1","FA_SAP_QUARTERLY","EXISTS",null,null,null,"FIRST_TERM_ATTENDED,LAST_TERM_ATTENDED,TOTAL_ATTENDED_TERMS","column_incremental"
"BANINST1","RCVAPPL","EXISTS",null,null,"RCVAPPL_ACTIVITY_DATE",null,"full_load"
"BANINST1","RCVEDEA","EXISTS",null,null,null,null,"full_load"
"BANINST1","RCVNARS","EXISTS",null,null,null,null,"full_load"
"BANINST1","RLVALIN","EXISTS",null,null,null,null,"full_load"
"BANINST1","RLVEDEA","EXISTS",null,null,null,null,"full_load"
"BANINST1","RNVAND0","EXISTS",null,null,null,null,"full_load"
"BANINST1","RNVAND1","EXISTS",null,null,null,null,"full_load"
"BANINST1","ROVSTCR","EXISTS",null,null,"ROVSTCR_ACTIVITY_DATE","ROVSTCR_TERM_CODE","column_incremental"
"BANINST1","ROVSTEV","EXISTS",null,null,null,"ROVSTEV_TERM_CODE_ADMIT,ROVSTEV_TERM_CODE_ASTD,ROVSTEV_TERM_CODE_MATRIC","column_incremental"
"BANINST1","ROVSTOD","EXISTS",null,null,null,"ROVSTOD_TERM_CODE_ADMIT,ROVSTOD_TERM_CODE_ASTD,ROVSTOD_TERM_CODE_MATRIC","column_incremental"
"BANINST1","ROVTENR","EXISTS",null,null,null,"ROVTENR_TERM_CODE","column_incremental"
"BANINST1","WFVCRHR","EXISTS",null,null,null,"WFVCRHR_TERM_CODE","column_incremental"
"BANINST1","WGVFGRD","EXISTS",null,null,null,null,"full_load"
"BANINST1","WGVSTDA","EXISTS",null,null,"WGVSTDA_ACTIVITY_DATE","WGVSTDA_SFRSTCR_TERM_CODE,WGVSTDA_TERM_CODE_ADMIT,WGVSTDA_TERM_CODE_ADMIT_2,WGVSTDA_TERM_CODE_ASTD,WGVSTDA_TERM_CODE_CAST,WGVSTDA_TERM_CODE_CTLG_1,WGVSTDA_TERM_CODE_CTLG_2,WGVSTDA_TERM_CODE_EFF,WGVSTDA_TERM_CODE_GRAD,WGVSTDA_TERM_CODE_MATRIC,WGVSTDA_TERM_CODE_PREV","column_incremental"
"BANINST1","WGVSTDN","EXISTS",null,null,"SGBSTDN_ACTIVITY_DATE","SGBSTDN_TERM_CODE_ADMIT,SGBSTDN_TERM_CODE_ASTD,SGBSTDN_TERM_CODE_CTLG_1,SGBSTDN_TERM_CODE_EFF,SHRTTRM_ASTD_CODE_END_OF_TERM,SHRTTRM_TERM_CODE","column_incremental"
"BANINST1","WRVGACH","EXISTS",null,null,null,"WRVGACH_TERM_CODE","column_incremental"
"BANINST1","WRVLSDA","EXISTS",null,null,null,"WRVLSDA_ADM_TERM_CODE_ENTRY,WRVLSDA_STU_TERM_CODE_EFF","column_incremental"
"BANINST1","WRVVABA","EXISTS",null,null,null,null,"full_load"
"BANINST1","WRVWWPD","EXISTS",null,null,null,null,"full_load"
"BANINST1","WSVAEEL","EXISTS",null,null,null,null,"full_load"
"BANINST1","WSVHSMP","EXISTS",null,null,null,"WSVHSMP_TERM_CODE","column_incremental"
"BANINST1","WSVOSBL","EXISTS",null,null,null,"WSVOSBL_REMAIN_TERM_BAL,WSVOSBL_TERM_AID,WSVOSBL_TERM_BALANCE,WSVOSBL_TERM_CODE","column_incremental"
"BANINST1","WSVRSCQ","EXISTS",null,null,null,"WSVRSCQ_TERM_CODE","column_incremental"
"BANINST1","WTVCMNT","EXISTS",null,null,"TBRCMNT_ACTIVITY_DATE","TBRCMNT_TERM","column_incremental"
"FAISMGR","RARAAWD","EXISTS",0,"RARAAWD_SURROGATE_ID","RARAAWD_ACTIVITY_DATE",null,"date_incremental"
"FAISMGR","RARSPTM","EXISTS",0,"RARSPTM_SURROGATE_ID","RARSPTM_ACTIVITY_DATE","RARSPTM_ATHL_AID_TERM_AMT,RARSPTM_SUMMER_TERM_COUNT,RARSPTM_TERM_COUNT,RARSPTM_TERM_PCT","date_incremental"
"FAISMGR","RBRABRC","EXISTS",5133,"RBRABRC_SURROGATE_ID","RBRABRC_ACTIVITY_DATE",null,"date_incremental"
"FAISMGR","RBRACMP","EXISTS",2377904,"RBRACMP_SURROGATE_ID","RBRACMP_ACTIVITY_DATE",null,"date_incremental"
"FAISMGR","RBRAPBC","EXISTS",7635043,"RBRAPBC_SURROGATE_ID","RBRAPBC_ACTIVITY_DATE",null,"date_incremental"
"FAISMGR","RBRAPBG","EXISTS",663710,"RBRAPBG_SURROGATE_ID","RBRAPBG_ACTIVITY_DATE",null,"date_incremental"
"FAISMGR","RBRAPBT","EXISTS",1077166,"RBRAPBT_SURROGATE_ID","RBRAPBT_ACTIVITY_DATE",null,"date_incremental"
"FAISMGR","RBRBCAT","EXISTS",133,"RBRBCAT_SURROGATE_ID","RBRBCAT_ACTIVITY_DATE",null,"date_incremental"
"FAISMGR","RBRPBCP","EXISTS",271,"RBRPBCP_SURROGATE_ID","RBRPBCP_ACTIVITY_DATE",null,"date_incremental"
"FAISMGR","RBRPBDR","EXISTS",1702,"RBRPBDR_SURROGATE_ID","RBRPBDR_ACTIVITY_DATE",null,"date_incremental"
"FAISMGR","RBRPBGP","EXISTS",204,"RBRPBGP_SURROGATE_ID","RBRPBGP_ACTIVITY_DATE",null,"date_incremental"
"FAISMGR","RBRPBTP","EXISTS",20,"RBRPBTP_SURROGATE_ID","RBRPBTP_ACTIVITY_DATE",null,"date_incremental"
"FAISMGR","RBRPELL","EXISTS",499,"RBRPELL_SURROGATE_ID","RBRPELL_ACTIVITY_DATE",null,"date_incremental"
"FAISMGR","RBRPGPT","EXISTS",293,"RBRPGPT_SURROGATE_ID","RBRPGPT_ACTIVITY_DATE",null,"date_incremental"
"FAISMGR","RBRPMSG","EXISTS",0,"RBRPMSG_SURROGATE_ID","RBRPMSG_ACTIVITY_DATE",null,"date_incremental"
"FAISMGR","RCRAPP1","EXISTS",1642652,"RCRAPP1_SURROGATE_ID","RCRAPP1_ACTIVITY_DATE",null,"date_incremental"
"FAISMGR","RCRAPP2","EXISTS",1611164,"RCRAPP2_SURROGATE_ID","RCRAPP2_ACTIVITY_DATE",null,"date_incremental"
"FAISMGR","RCRAPP3","EXISTS",1642652,"RCRAPP3_SURROGATE_ID","RCRAPP3_ACTIVITY_DATE",null,"date_incremental"
"FAISMGR","RCRAPP4","EXISTS",1642652,"RCRAPP4_SURROGATE_ID","RCRAPP4_ACTIVITY_DATE",null,"date_incremental"
"FAISMGR","RCRESAR","EXISTS",1520430,"RCRESAR_SURROGATE_ID","RCRESAR_ACTIVITY_DATE",null,"date_incremental"
